base_pid,gender,age_band,race,target_cell_proportion,clean_pool_cell_n,poststratification_weight
pid_1,Female,45-59,Black / African American,0.0146110438331315,16,1.75423845021535
pid_2,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_3,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_5,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_7,Female,18-29,White / Caucasian,0.0500561501684505,97,0.991318190449417
pid_8,Female,18-29,Black / African American,0.0145000435001305,25,1.11418334255003
pid_9,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_10,Male,30-44,Other,0.003889011667035,19,0.393199548019697
pid_11,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_13,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_14,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_15,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_16,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_17,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_18,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_19,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_20,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_21,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_22,Female,30-44,Other,0.0039440118320355,17,0.445673337020011
pid_23,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_24,Male,18-29,White / Caucasian,0.0529441588324765,84,1.21078248949033
pid_25,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_26,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_27,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_28,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_29,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_30,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_31,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_32,Male,30-44,Hispanic / Latino,0.029333087999264,40,1.40872155116465
