persona_id,age_band,gender,QID1721185783_3_TEXT,year_birth,race,QID1721185785_5_TEXT,education,QID1721185787_1,QID1721185787_2,QID1721185787_3,income,household,social_class,rural,zip_code,attention1,party,QID1721185795_4_TEXT,religion,QID1721185824_22_TEXT,epist_auton_1,epist_auton_2,epist_auton_3,epist_auton_4,epist_auton_5,epist_auton_6,attention2,partisan_importance,religion_bornagain,religiosity
pid_1,45-59,Female,,1980,Black / African-American,,Some college or Associate's degree,No,Yes,No,"$56,000 to $99,999",3,Middle class,A small city or town,99999,Somewhat disagree,Independent,,I am not religious,,6,6,3,6,6,1 Strongly disagree,attention,,,
pid_2,60+,Female,,1963,White / Caucasian,,Some college or Associate's degree,No,Yes,Yes,"$30,000 to $55,999",2,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,6,2,attention,75,,
pid_3,60+,Male,,1945,White / Caucasian,,Some college or Associate's degree,No,Yes,No,"$30,000 to $55,999",2,Middle class,A small city or town,99999,Somewhat disagree,Independent,,Protestant,,6,6,3,6,6,2,attention,,No,35
pid_4,60+,Male,,1965,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$56,000 to $99,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,Other religion (please specify),Other,7 Strongly agree,7 Strongly agree,4,6,7 Strongly agree,1 Strongly disagree,attention,85,,10
pid_5,30-44,Female,,1985,White / Caucasian,,Some college or Associate's degree,No,Yes,Yes,"$56,000 to $99,999",6 or more,Middle class,A suburb near a large city,99999,Somewhat disagree,Independent,,I am not religious,,6,6,3,5,6,2,attention,,,
pid_7,18-29,Female,,1998,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$56,000 to $99,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,2,6,7 Strongly agree,1 Strongly disagree,attention,85,,
pid_8,18-29,Female,,1998,Black / African-American,,Doctorate degree / Ph.D.,Yes,Yes,Yes,"$100,000 to $167,999",3,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,Protestant,,6,6,5,6,6,2,attention,75,Yes,75
pid_9,45-59,Male,,1980,White / Caucasian,,Master's degree / Professional degree,Yes,Yes,Yes,"$100,000 to $167,999",2,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,Catholic,,6,6,4,6,6,2,attention,70,No,55
pid_10,30-44,Male,,1985,Other,Other,Some college or Associate's degree,Yes,Yes,Yes,"$168,000 or more",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,Other religion (please specify),Other,7 Strongly agree,7 Strongly agree,3,6,7 Strongly agree,1 Strongly disagree,attention,85,,70
pid_11,60+,Female,,1965,White / Caucasian,,Some college or Associate's degree,No,Yes,No,"$56,000 to $99,999",2,Middle class,A small city or town,99999,Somewhat disagree,Republican,,Protestant,,6,6,5,6,6,2,attention,75,Yes,65
