condition,base_pid,gender,age_band,race,selected_n,in_panel500
apple aardvark,pid_14,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_15,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_23,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_29,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_32,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_35,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_43,Male,18-29,Black / African-American,500,yes
apple aardvark,pid_57,Male,45-59,Black / African-American,500,yes
apple aardvark,pid_59,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_62,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_65,Female,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_71,Male,60+,Latino / Hispanic,500,yes
apple aardvark,pid_72,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_75,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_76,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_81,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_83,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_84,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_91,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_95,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_99,Male,30-44,Other,500,yes
apple aardvark,pid_102,Male,45-59,Black / African-American,500,yes
apple aardvark,pid_104,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_107,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_115,Female,60+,Asian / Asian-American,500,yes
apple aardvark,pid_118,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_122,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_123,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_129,Female,30-44,Asian / Asian-American,500,yes
apple aardvark,pid_133,Female,60+,Latino / Hispanic,500,yes
apple aardvark,pid_160,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_163,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_165,Male,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_167,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_173,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_174,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_180,Female,60+,Black / African-American,500,yes
apple aardvark,pid_182,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_186,Female,18-29,Black / African-American,500,yes
apple aardvark,pid_189,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_198,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_204,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_207,Female,45-59,Black / African-American,500,yes
apple aardvark,pid_217,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_223,Male,60+,Black / African-American,500,yes
apple aardvark,pid_245,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_248,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_253,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_258,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_262,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_263,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_265,Female,60+,Black / African-American,500,yes
apple aardvark,pid_268,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_273,Male,60+,Latino / Hispanic,500,yes
apple aardvark,pid_276,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_278,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_282,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_283,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_285,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_289,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_290,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_294,Male,60+,Black / African-American,500,yes
apple aardvark,pid_296,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_303,Female,60+,Black / African-American,500,yes
apple aardvark,pid_305,Male,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_315,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_318,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_329,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_333,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_336,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_337,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_339,Male,45-59,Black / African-American,500,yes
apple aardvark,pid_345,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_348,Female,45-59,Black / African-American,500,yes
apple aardvark,pid_350,Male,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_353,Male,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_363,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_366,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_368,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_369,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_371,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_373,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_376,Male,60+,Black / African-American,500,yes
apple aardvark,pid_378,Female,30-44,Asian / Asian-American,500,yes
apple aardvark,pid_379,Male,60+,Other,500,yes
apple aardvark,pid_384,Female,60+,Black / African-American,500,yes
apple aardvark,pid_391,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_393,Male,60+,Latino / Hispanic,500,yes
apple aardvark,pid_398,Female,60+,Latino / Hispanic,500,yes
