base_pid,QID183,QID184,QID192,QID193,QID165,QID166,QID163,QID164,QID169,QID170,QID167,QID168,QID154,QID156,QID157,QID158,QID287_1,QID287_10,QID287_11,QID287_12,QID287_2,QID287_3,QID287_4,QID287_5,QID287_6,QID287_7,QID171,QID172,QID173,QID159_1,QID159_2,QID159_3,QID160_1,QID160_2,QID160_3,QID194,QID195,QID196,QID288_1,QID288_2,QID288_3,QID288_4,QID289_1,QID289_2,QID289_3,QID289_4,QID290_1,QID290_10,QID290_11,QID290_12,QID290_2,QID290_3,QID290_4,QID290_5,QID290_6,QID290_7,QID291,QID162,QID161,QID198_1,QID198_10,QID198_2,QID198_3,QID198_4,QID198_5,QID198_6,QID198_7,QID198_8,QID198_9,QID203_1,QID203_2,QID203_3,QID203_4,QID203_5,QID203_6,QID9_1,QID9_10,QID9_11,QID9_12,QID9_13,QID9_14,QID9_15,QID9_16,QID9_17,QID9_18,QID9_19,QID9_2,QID9_20,QID9_21,QID9_22,QID9_23,QID9_24,QID9_25,QID9_26,QID9_27,QID9_28,QID9_29,QID9_3,QID9_30,QID9_31,QID9_32,QID9_33,QID9_34,QID9_35,QID9_36,QID9_37,QID9_38,QID9_39,QID9_4,QID9_40,QID9_5,QID9_6,QID9_7,QID9_8,QID9_9,QID174,QID175,QID176,QID177,QID178,QID179,QID181,QID182,QID191,QID190,QID189
pid_1,,1.0,1.0,,2.0,54.0,,,2.0,380.0,,,30.0,,,2.0,4.0,5.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,,,,,,4.0,5.0,5.0,,4.0,1.0,7.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,55.0,58.0,48.0,42.0,60.0,62.0,48.0,68.0,65.0,75.0,4.0,,7.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,,,6.0,,,15.0,,2.0,,
pid_2,,1.0,1.0,,,,1.0,54.0,,,1.0,379.0,30.0,,,1.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,,,,,,4.0,4.0,5.0,6.0,,1.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,55.0,65.0,45.0,35.0,60.0,65.0,50.0,75.0,70.0,80.0,4.0,6.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,,,6.0,,,,20.0,,10.0,
pid_3,1.0,,,2.0,,,1.0,20.0,,,1.0,200.0,,70.0,2.0,,4.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,4.0,,5.0,,,,,4.0,5.0,2.0,,4.0,1.0,6.0,5.0,5.0,5.0,3.0,5.0,6.0,6.0,55.0,65.0,55.0,45.0,60.0,62.0,48.0,68.0,62.0,72.0,4.0,,6.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,4.0,,,6.0,,18.0,,,6.0,
pid_4,,1.0,2.0,,2.0,54.0,,,2.0,380.0,,,40.0,,2.0,,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,5.0,2.0,,,,6.0,,2.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,65.0,65.0,45.0,40.0,60.0,65.0,55.0,75.0,70.0,80.0,4.0,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,5.0,,,6.0,,,20.0,2.0,,
pid_5,1.0,,1.0,,,,1.0,45.0,,,1.0,300.0,40.0,,,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,,4.0,,4.0,5.0,3.0,,,,,4.0,1.0,6.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,55.0,55.0,50.0,40.0,60.0,60.0,52.0,70.0,65.0,80.0,4.0,6.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,4.0,,,6.0,,,20.0,,6.0,
pid_7,1.0,,1.0,,2.0,54.0,,,2.0,379.0,,,30.0,,3.0,,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,,,,4.0,5.0,5.0,6.0,,1.0,7.0,5.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,60.0,45.0,40.0,65.0,68.0,55.0,75.0,70.0,80.0,4.0,6.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,5.0,,,6.0,,18.0,,3.0,,
pid_8,1.0,,,2.0,,,1.0,50.0,,,1.0,300.0,,70.0,,1.0,4.0,5.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,,,5.0,5.0,3.0,,,,4.0,,1.0,7.0,3.0,5.0,5.0,3.0,5.0,6.0,6.0,60.0,55.0,45.0,35.0,65.0,65.0,55.0,70.0,65.0,75.0,4.0,6.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,,,6.0,,,,0.0,2.0,,
pid_9,,1.0,,2.0,,,1.0,54.0,,,1.0,380.0,30.0,,,2.0,4.0,5.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,,5.0,,,,,4.0,5.0,5.0,6.0,,1.0,7.0,5.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,65.0,45.0,35.0,65.0,65.0,55.0,75.0,70.0,80.0,4.0,6.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,5.0,,,6.0,,,20.0,,,3.0
pid_10,1.0,,1.0,,2.0,54.0,,,,,1.0,379.0,,70.0,2.0,,5.0,5.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,,4.0,,,,,4.0,4.0,3.0,,4.0,1.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,60.0,65.0,45.0,35.0,55.0,65.0,55.0,75.0,70.0,80.0,4.0,,6.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,,5.0,,,6.0,,18.0,,,,6.0
pid_11,,2.0,,1.0,2.0,54.0,,,,,1.0,379.0,,70.0,,2.0,2.0,1.0,5.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,,,,,,3.0,5.0,5.0,6.0,,1.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,45.0,50.0,60.0,55.0,55.0,50.0,45.0,60.0,60.0,75.0,4.0,,6.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,,,5.0,,,18.0,,,9.0,
